"Pattern formation in active fluids";"8260774743833365851";"2011"
"Self‐organization in living cells";"13750582598029210497";"1994"
" Cosmic Blueprint: New Discoveries In Natures Ability To Order Universe";"13173903118928833375";"2004"
" Molecules, dynamics, and life: An introduction to self-organization of matter";"15219405186207833740";"1986"
" The undecidable: Basic papers on undecidable propositions unsolvable problems and computable functions";"12831623505842208445";"1965"
"CompuCell, a multi-model framework for simulation of morphogenesis";"2039728456314886960";"2004"
"From signals to patterns: space, time, and mathematics in developmental biology";"10158560867196136792";"2008"
" Lefty proteins are long-range inhibitors of squint-mediated nodal signaling";"12937779959136052547";"2002"
" L'origine des individus";"6827533071135660122";"2008"
"Sustained patterns in chlorite–iodide reactions in a one‐dimensional reactor";"7839555049997974898";"1991"
"The chemical basis of diatom morphogenesis";"317273575007698008";"1994"
"A novel generative encoding for exploiting neural network sensor and output geometry";"7170055410422482358";"2007"
"Pattern formation in Escherichia coli: a model for the pole-to-pole oscillations of Min proteins and the localization of the division site";"6515534618277477813";"2001"
"Gravitational symmetry breaking in microtubular dissipative structures";"14319009503855170178";"1992"
"Physical properties determining self-organization of motors and microtubules";"10186889259463251311";"2001"
" Wnt signaling gradients establish planar cell polarity by inducing Vangl2 phosphorylation through Ror2";"5407559343841027714";"2011"
"A reaction-diffusion wave on the skin of the marine angelfish Pomacanthus";"3186988855206066763";"1995"
"A model for colour pattern formation in the butterfly wing of Papilio dardanus";"14044444641315318390";"2000"
"Periodic stripe formation by a Turing mechanism operating at growth zones in the mammalian palate";"17124425027726832244";"2012"
"Digit patterning is controlled by a Bmp-Sox9-Wnt Turing network modulated by morphogen gradients";"13527226862133903739";"2014"
"Noise and correlations in a spatial population model with cyclic competition";"16991737475689113030";"2007"
"Self-organized structures in a superorganism: do ants “behave” like molecules?";"4688857172311962260";"2006"
"A plausible model of phyllotaxis";"16750743470239222437";"2006"
"Control of multistability";"4179267081752101441";"2014"
"Innateness and moral psychology";"7939274245646970398";"2005"
"Systems analysis of hormone action";"10367038008427189830";"1982"
"Generic behavior of master-stability functions in coupled nonlinear dynamical systems";"5675494933339339942";"2009"
"Stochastic formulation of ecological models and their applications";"1338971012176245745";"2012"
"Acetylcholine receptor gene expression at the developing neuromuscular junction";"3422949671249279162";"1995"
"On pattern formation mechanisms for lepidopteran wing patterns and mammalian coat markings";"7914819693714968597";"1981"
"Pattern formation in intracortical neuronal fields";"1332988796974631405";"2003"
" Perturbation methods and semilinear elliptic problems on R^ n";"15487987151906728298";"2006"
"Growing pollen tubes possess a constitutive alkaline band in the clear zone and a growth-dependent acidic tip";"814537455034743073";"1999"
"Mathematical modeling of tumor-induced angiogenesis";"17490427911055373806";"2004"
"Patchy reaction-diffusion and population abundance: the relative importance of habitat amount and arrangement";"16278166538388852860";"2002"
" The touchstone of life: molecular information, cell communication, and the foundations of life";"10674658190178902563";"1999"
"Mechanism of chemical instability for periodic precipitation phenomena";"13282562606891430";"1974"
"Population models and community structure in heterogeneous environments";"6054463402978875370";"1986"
"Monte Carlo simulations of oscillations, chaos and pattern formation in heterogeneous catalytic reactions";"5565924910026583773";"2002"
"Singular elliptic problems...";"17601993526949943822";"2006"
"Some mathematics of biological oscillations";"12695061017301272442";"1977"
" Urgeschichte der Selbstorganisation: zur Archäologie eines wissenschaftlichen Paradigmas";"17916853116382935407";"2013"
"Astrocytes";"2597227311313605767";"1993"
"Review Paper: Continuum biomechanics of soft biological tissues";"17027787040153054515";"2003"
"Physically-based visual simulation on graphics hardware";"5721444975329154492";"2002"
"A putative mechanism for bog patterning";"1297391013783311070";"2004"
"The left-right axis in the mouse: from origin to morphology";"10413458394562744363";"2006"
"A pre-pattern formation mechanism for animal coat markings";"2558168440640925519";"1981"
"Continuous-time model of structural balance";"6998285213783866294";"2011"
"Autonomous cellular neural networks: A unified paradigm for pattern formation and active wave propagation";"16575398861634050183";"1995"
"Approximation-based adaptive tracking control of pure-feedback nonlinear systems with multiple unknown time-varying delays";"7907362152487136299";"2010"
"Ecological complexity and pest control in organic coffee production: uncovering an autonomous ecosystem service";"6144534880913851191";"2010"
"Local structures in chemical reactions with heterogeneous catalysis";"8299905310328819484";"1972"
"Regular and irregular patterns in semiarid vegetation";"10768331803027339416";"1999"
" Synchronization-induced rhythmicity of circadian oscillators in the suprachiasmatic nucleus";"2555019428611930579";"2007"
"Generic spatiotemporal dynamics near codimension-two Turing-Hopf bifurcations";"8941430116733372152";"1997"
"Spatiotemporal complexity of a ratio-dependent predator-prey system";"10634259990675773407";"2007"
"Resolving discrepancies between deterministic population models and individual-based simulations";"7577369140227458289";"1998"
"Pattern formation by lateral inhibition with feedback: a mathematical model of delta-notch intercellular signalling";"18418725136906503772";"1996"
"Characteristics of pattern formation and evolution in approximations of Physarum transport networks";"18083685670611342751";"2010"
"The evolution of molecular biology into systems biology";"401657440654580950";"2004"
"Types and forms of emergence";"18267670641420589308";"2005"
" Periodic spotted patterns in semi‐arid vegetation explained by a propagation‐inhibition model";"1749568205014834669";"2001"
"Autowave processes in distributed kinetic systems";"10448500740149296561";"1979"
"A model for vein formation in higher plants";"966456966345783463";"1980"
"Sexual selection, space, and speciation";"17269053867172394324";"1997"
"Radon, fluoride and 62 elements as determined by ICP-MS in 145 Norwegian hard rock groundwater samples";"6804109005466575869";"1996"
"Morphogen gradient formation";"1399630604579881144";"2009"
" The world in your head: A gestalt view of the mechanism of conscious experience";"7167654371478713503";"2003"
"Signal dynamics in Sonic hedgehog tissue patterning";"6147078893347013555";"2006"
"Evolutionary game theory: Theoretical concepts and applications to microbial communities";"17247857178580627869";"2010"
" Organelle growth control through limiting pools of cytoplasmic components";"10926031923526671522";"2012"
"A comparison of the effects of auxin on cluster root initiation and development in Grevillea robusta Cunn. ex R. Br.(Proteaceae) and in the genus Lupinus ( …";"11007667747012204044";"2000"
"Sustained chemical waves in an annular gel reactor: a chemical pinwheel";"15743629270793091042";"1987"
" Stochastic processes in cell biology";"12550815734119849521";"2014"
"Pattern generation in space and aspect";"11367012268072733708";"1985"
"How the economy organizes itself in space: a survey of the new economic geography";"4442498681099373706";"1996"
" As time goes by: from the industrial revolutions to the information revolution";"2151253116682462197";"2001"
" Strategy and stationary pattern in a three-species predator–prey model";"9064519015549950363";"2004"
"Experimental evidence for spatial self-organization and its emergent effects in mussel bed ecosystems";"17225126758741892501";"2008"
"Genotype to phenotype: physiological control of trait size and scaling in insects";"10344956352950584379";"2003"
"Self-assembly: from crystals to cells";"17873030338196221755";"2009"
"The genetics of geometry";"7660964596491547189";"2004"
" Order and complexity in dynamical systems: homeodynamics as a generalized mechanics for biology";"2806033087214308408";"1994"
"Origination and innovation in the vertebrate limb skeleton: an epigenetic perspective";"8761722286103029606";"2005"
"Synchronization conditions and desynchronizing patterns in coupled limit-cycle and chaotic systems";"2918269908298276585";"1998"
"Finite-Difference Schemes for Reaction–Diffusion Equations Modeling Predator–Prey Interactions in M ATLAB";"16508477386033145632";"2007"
"Before programs: the physical origination of multicellular forms";"3571824281258346603";"2003"
" The nick of time: Politics, evolution, and the untimely";"532891997342277195";"2004"
"A conserved network of transcriptional activators and repressors regulates anthocyanin pigmentation in eudicots";"173157738610107786";"2014"
"Cell traction models for generating pattern and form in morphogenesis";"1290630960418307593";"1984"
"Cyclic alopecia'in Msx2 mutants: defects in hair cycling and hair shaft differentiation";"3966970965734390372";"2003"
"Mechanical stress and morphogenetic endochondral ossification of the sternum.";"8878440343302306450";"1988"
"Self-organization of vegetation in arid ecosystems";"3056130244595873613";"2002"
"Stationary spatial patterns in passive optical systems: two-level atoms";"1813218311546121022";"1988"
"The neglected pillar of material computation";"6809786542765762887";"2008"
"Cellular automata in generative electronic music and sonic art: a historical and technical review";"5707108692659157057";"2005"
"Mechanisms for the control of gene activity during development";"5211339937252434086";"1990"
"Amplitude death: The emergence of stationarity in coupled nonlinear systems";"2180792456320483012";"2012"
" Life: an introduction to complex systems biology";"8076311568555285159";"2006"
"Properties of fractal phenomena in space and time";"1654821070819433206";"1994"
" Cellular automata";"13268756642925263800";"1998"
" Pattern formation by interacting chemical fronts";"2980086366434851435";"1993"
"Self-organization in sensor networks";"17627972673190633662";"2004"
"Spatial patterns in ant colonies";"14950601806648403587";"2002"
"Regulation of EGF receptor signaling establishes pattern across the developing Drosophila retina";"16883123143056801962";"1998"
"Conceptual Frameworks: Plan for a Half-Built House";"7287181666209200520";"2005"
"A new structurally dissolvable self-reproducing loop evolving in a simple cellular automata space";"6367680361633093193";"1999"
"Three-dimensional dissipative structures in reaction-diffusion systems";"8196709123433906477";"1992"
"Discussion: Turing's theory of morphogenesis—its influence on modelling biological pattern and form";"9879786856966054001";"1990"
" A proposed name for aperiodic brain activity: stochastic chaos";"14945277309422905871";"2000"
"Bud formation inHydra: Inhibition by an endogenous morphogen";"998560717867495304";"1977"
"Next century challenges: Scalable coordination in sensor networks";"6657947363960065444";"1999"
"Reaction-diffusion textures";"13704374331766686353";"1991"
"Principles and implementations of dissipative (dynamic) self-assembly";"16069221589494731312";"2006"
"A society of models for video and image libraries";"7050039600223151360";"1996"
" Principles of animal communication";"17558005974219437179";"1998"
" Diffusion and ecological problems: mathematical Models";"9389837814977749775";"1980"
" Chomsky: Ideas and ideals";"6372192388050530503";"2016"
"Global structure of bifurcating solutions of some reaction-diffusion systems";"6101407812883733700";"1982"
"Visual models of plant development";"13625936976186709373";"1997"
" The math gene: How mathematical thinking evolved and why numbers are like gossip";"16322251412814358968";"2000"
"Does scale‐dependent feedback explain spatial complexity in salt‐marsh ecosystems?";"18410240927525753840";"2008"
"Self-organization in pedestrian crowds";"7043670411733326319";"2012"
" Mathematical models in molecular cellular biology";"9726002580182044672";"1980"
" The evolution of economic webs";"9910280002827682059";""
"Spatial structure formation in precipitation reactions";"1298322839753463239";"2003"
"New approach to synchronization analysis of linearly coupled ordinary differential systems";"15255275344240759817";"2006"
"Molecular models and combinatorial principles in cell differentiation and morphogenesis";"385113902213105573";"1974"
"Standing and propagating wave oscillations in the anodic dissolution of nickle";"16049979590566683342";"1988"
"Proton circuits in biological energy interconversions";"5507786990051764977";"1988"
"Models for the ontogenetic development of higher organisms";"17266836837569078160";"1978"
"Spatiotemporal complexity of plankton and fish dynamics";"11498252158818214192";"2002"
"An experimental design method leading to chemical Turing patterns";"11843964209482313296";"2009"
"A group-theoretic approach to rings of coupled biological oscillators";"16877369980348587446";"1994"
"Spatial pattern and ecological process in the coffee agroforestry system";"6414843152374950556";"2008"
"Spatial self-organisation in ecology: pretty patterns or robust reality?";"8079560448695179699";"1997"
"Interactions between zebrafish pigment cells responsible for the generation of Turing patterns";"5427020328056088541";"2009"
"Cross-diffusion and pattern formation in reaction–diffusion systems";"2829165565415280570";"2009"
" The symmetry perspective: from equilibrium to chaos in phase space and physical space";"8169286237899059397";"2003"
"Cellular texture generation";"10373242494327752049";"1995"
